,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
6 months under 7 months,2649606.00,15011117.00,22119736.00,7111236.00,2001.00,Losses,6 months under 7 months,
7 months under 8 months,2309438.00,15052713.00,21802376.00,6756006.00,2001.00,Losses,7 months under 8 months,
8 months under 9 months,2180810.00,11577931.00,17991782.00,6415272.00,2001.00,Losses,8 months under 9 months,
9 months under 10 months,2087452.00,10667177.00,17413618.00,6746949.00,2001.00,Losses,9 months under 10 months,
10 months under 11 months,2186858.00,12093794.00,20475927.00,8377644.00,2001.00,Losses,10 months under 11 months,
11 months under 12 months,2206576.00,16116414.00,25858187.00,9744944.00,2001.00,Losses,11 months under 12 months,
1 year or more [2],845858.00,42850921.00,47461764.00,4582848.00,2001.00,Losses,1 year or more [2],
Holding period not determinable,6019584.00,339903791.00,374097991.00,53972551.00,2001.00,Losses,Holding period not determinable,
Long-term transactions,,,,,2001.00,Losses,Long-term transactions,
Total:,36452014.00,286271041.00,422090347.00,160408524.00,2001.00,Losses,Total:,
Under 18 months [3],9973547.00,51423383.00,88368559.00,37734786.00,2001.00,Losses,Under 18 months [3],
18 months under 2 years,5805780.00,28887122.00,50894422.00,22017664.00,2001.00,Losses,18 months under 2 years,
2 years under 3 years,5315109.00,42768047.00,59926656.00,17206868.00,2001.00,Losses,2 years under 3 years,
3 years under 4 years,2380165.00,19052950.00,25740426.00,6753987.00,2001.00,Losses,3 years under 4 years,
4 years under 5 years,1210026.00,11086989.00,14614260.00,3575358.00,2001.00,Losses,4 years under 5 years,
5 years under 10 years,2219340.00,21663619.00,28088947.00,6468178.00,2001.00,Losses,5 years under 10 years,
10 years under 15 years,427595.00,5114164.00,6737204.00,1629482.00,2001.00,Losses,10 years under 15 years,
15 years under 20 years,162569.00,1326393.00,2212197.00,885805.00,2001.00,Losses,15 years under 20 years,
20 years or more,166692.00,2884040.00,4934638.00,2054991.00,2001.00,Losses,20 years or more,
Holding period not determinable,8791191.00,102064334.00,140573038.00,62081405.00,2001.00,Losses,Holding period not determinable,
Total:,39698802.00,842979025.00,795912701.00,57080927.00,2002.00,gains,Total:,
Under 1 month,16241454.00,341714178.00,329724229.00,12019998.00,2002.00,gains,Under 1 month,
1 month under 2 months,4196086.00,60970200.00,56623371.00,4351457.00,2002.00,gains,1 month under 2 months,
2 months under 3 months,2363845.00,25965809.00,23672435.00,2327252.00,2002.00,gains,2 months under 3 months,
3 months under 4 months,2085203.00,33216695.00,31068325.00,2148034.00,2002.00,gains,3 months under 4 months,
4 months under 5 months,1764060.00,19797407.00,17982746.00,1833718.00,2002.00,gains,4 months under 5 months,
5 months under 6 months,1460059.00,15411235.00,13734529.00,1643915.00,2002.00,gains,5 months under 6 months,
